17:02:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:02:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:02:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:02:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:02:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:03:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:03:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:03:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
17:03:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749002,\n"message":{"message_id":63,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634632,"text":"\\u0420\\u0430\\u0440"}}]}'"
17:03:52 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:52 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'Рар'}" and files "None"
17:03:52 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749003, 'timeout': 20}" and files "None"
17:03:52 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":64,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634632,"text":"\\u0420\\u0430\\u0440"}}'"
17:03:53 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749003,\n"message":{"message_id":65,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634633,"text":"\\u041f"}}]}'"
17:03:53 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:53 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'П'}" and files "None"
17:03:53 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749004, 'timeout': 20}" and files "None"
17:03:53 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":66,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634633,"text":"\\u041f"}}'"
